,Category,Reaction Popularity,Month
116,cooking,10,2
117,cooking,45,12
118,cooking,20,10
119,cooking,35,9
120,cooking,72,5
121,dogs,70,2
122,dogs,60,4
123,dogs,45,1
124,dogs,12,3
125,dogs,0,1
126,dogs,60,12
127,dogs,5,5
128,dogs,50,3
129,dogs,35,9
130,dogs,20,11
131,dogs,60,3
132,dogs,0,1
133,dogs,70,9
134,dogs,30,6
135,dogs,5,2
136,dogs,45,1
137,dogs,10,2
138,dogs,12,8
139,dogs,70,8
140,dogs,15,8
141,dogs,70,6
142,dogs,75,10
143,dogs,10,12
144,dogs,15,3
145,dogs,20,3
146,dogs,30,6
147,dogs,15,12
148,dogs,15,2
149,dogs,30,12
150,dogs,30,12
151,dogs,30,10
152,dogs,12,9
153,dogs,15,11
154,dogs,60,7
155,dogs,60,3
156,dogs,30,10
157,dogs,60,11
158,dogs,70,10
159,dogs,0,2
160,dogs,70,2
161,dogs,5,10
162,dogs,50,8
163,dogs,65,2
164,dogs,72,1
165,technology,70,3
166,technology,75,2
167,technology,60,2
168,technology,12,7
169,soccer,72,7
170,soccer,20,1
171,soccer,12,1
172,soccer,45,11
173,soccer,70,8
174,soccer,5,2
175,soccer,65,6
176,soccer,72,8
177,soccer,70,4
178,soccer,75,6
179,soccer,50,8
180,soccer,65,11
181,public speaking,70,4
182,public speaking,20,7
183,public speaking,10,3
184,public speaking,70,5
185,public speaking,50,11
186,public speaking,20,10
187,public speaking,60,9
188,public speaking,15,3
189,public speaking,72,1
190,public speaking,35,7
191,public speaking,50,3
192,public speaking,45,11
193,public speaking,70,8
194,public speaking,35,6
195,public speaking,12,7
196,public speaking,45,3
197,public speaking,75,4
198,public speaking,70,4
199,public speaking,60,9
200,public speaking,60,7
201,public speaking,15,1
202,public speaking,15,1
203,public speaking,5,12
204,public speaking,0,5
205,public speaking,0,2
206,public speaking,72,7
207,public speaking,10,7
208,public speaking,50,10
209,public speaking,60,11
210,public speaking,70,2
211,public speaking,45,7
212,public speaking,72,6
213,public speaking,12,11
214,public speaking,50,5
215,public speaking,20,2
216,public speaking,15,1
217,public speaking,72,10
218,public speaking,5,11
219,public speaking,15,4
220,public speaking,65,6
221,public speaking,70,12
222,public speaking,15,11
223,science,75,6
224,science,60,8
225,science,45,7
226,science,75,10
227,science,12,7
228,science,70,4
229,science,20,1
230,science,72,8
231,science,45,10
232,science,65,8
233,science,15,10
234,science,60,10
235,science,70,12
236,science,50,1
237,science,5,8
238,science,65,12
239,science,0,11
240,science,72,4
241,science,15,4
242,science,45,7
243,science,45,7
244,science,65,3
245,tennis,70,9
246,tennis,12,1
247,tennis,20,1
248,tennis,75,9
249,tennis,12,1
250,tennis,20,9
251,tennis,75,5
252,tennis,12,5
253,tennis,45,8
254,tennis,0,3
255,tennis,35,2
256,tennis,15,3
257,tennis,15,7
258,tennis,5,5
259,tennis,60,11
260,tennis,75,7
261,tennis,12,12
262,tennis,75,9
263,tennis,5,7
264,tennis,70,10
265,tennis,60,1
266,tennis,70,2
267,tennis,45,12
268,tennis,35,5
269,tennis,30,8
270,tennis,60,10
271,tennis,35,1
272,tennis,45,3
273,tennis,35,11
274,tennis,60,6
275,tennis,70,12
276,tennis,75,2
277,tennis,70,3
278,tennis,10,8
279,tennis,60,11
280,tennis,5,5
281,tennis,5,4
282,tennis,35,8
283,tennis,0,9
284,tennis,45,4
285,tennis,70,12
286,tennis,10,12
287,tennis,0,10
288,tennis,70,12
289,tennis,35,1
290,tennis,5,5
291,tennis,0,7
292,food,65,1
293,food,12,10
294,food,12,2
295,food,75,1
296,food,35,12
297,food,20,5
298,food,12,10
299,food,20,2
300,food,75,10
301,food,35,8
302,food,0,12
303,food,15,11
304,food,15,8
305,food,0,1
306,food,72,2
307,food,10,9
308,food,0,11
309,food,65,10
310,food,60,11
311,food,65,5
312,food,35,3
313,food,45,6
314,food,45,7
315,food,0,4
316,food,50,10
317,food,75,9
318,food,10,2
319,food,60,12
320,food,60,6
321,food,10,5
322,food,45,2
323,food,72,8
324,food,20,1
325,food,75,8
326,food,0,10
327,food,35,3
328,food,75,2
329,food,60,8
330,food,15,1
331,food,30,10
332,food,15,2
333,food,75,6
334,food,50,10
335,food,75,11
336,food,45,8
337,food,15,10
338,food,35,4
339,food,50,9
340,travel,45,3
341,fitness,30,10
342,fitness,50,2
343,fitness,0,2
344,fitness,30,4
345,fitness,12,6
346,fitness,12,10
347,fitness,20,6
348,fitness,70,8
349,soccer,72,7
350,soccer,30,12
351,soccer,70,8
352,soccer,20,5
353,soccer,20,2
354,soccer,0,2
355,public speaking,5,9
356,public speaking,12,10
357,public speaking,30,11
358,public speaking,15,10
359,public speaking,5,1
360,public speaking,70,9
361,public speaking,5,1
362,public speaking,12,9
363,public speaking,65,11
364,public speaking,50,9
365,public speaking,20,2
366,public speaking,70,4
367,public speaking,65,1
368,public speaking,10,11
369,public speaking,60,3
370,public speaking,70,9
371,public speaking,10,7
372,public speaking,70,6
373,public speaking,72,1
374,public speaking,70,6
375,public speaking,72,5
376,public speaking,70,3
377,public speaking,70,10
378,public speaking,72,4
379,public speaking,5,11
380,public speaking,0,6
381,public speaking,35,5
382,public speaking,5,9
383,public speaking,75,10
384,public speaking,15,10
385,public speaking,15,1
386,public speaking,0,12
387,public speaking,0,6
388,public speaking,15,5
389,public speaking,45,11
390,public speaking,75,5
391,public speaking,30,8
392,public speaking,45,12
393,food,0,11
394,food,5,10
395,food,70,5
396,food,5,1
397,food,15,2
398,food,45,7
399,food,12,6
400,food,70,3
401,food,70,5
402,food,15,8
403,food,50,6
404,food,0,1
405,food,10,5
406,food,30,7
407,food,72,11
408,food,50,8
409,food,10,7
410,food,15,10
411,food,20,2
412,food,20,11
413,food,30,7
414,food,50,5
415,food,75,11
416,food,12,2
417,food,45,8
418,food,75,9
419,tennis,72,5
420,tennis,35,2
421,tennis,0,4
422,tennis,12,4
423,tennis,12,4
424,tennis,0,12
425,tennis,60,3
426,tennis,5,10
427,tennis,50,11
428,tennis,15,6
429,tennis,5,2
430,tennis,65,5
431,tennis,15,11
432,tennis,70,7
433,tennis,65,8
434,tennis,10,9
435,tennis,50,8
436,tennis,70,8
437,tennis,50,7
438,tennis,60,7
439,tennis,15,5
440,tennis,65,5
441,tennis,5,2
442,tennis,45,8
443,tennis,70,9
444,tennis,5,3
445,tennis,10,7
446,tennis,75,1
447,tennis,70,4
448,tennis,50,4
449,tennis,20,2
450,tennis,0,10
451,tennis,30,11
452,tennis,10,12
453,tennis,20,3
454,tennis,45,8
455,tennis,45,9
456,tennis,15,12
457,tennis,72,5
458,tennis,35,10
459,tennis,0,8
460,tennis,70,5
461,tennis,65,11
462,tennis,75,4
463,tennis,5,5
464,soccer,12,10
465,soccer,45,4
466,soccer,10,6
467,soccer,5,9
468,soccer,0,9
469,soccer,0,8
470,soccer,70,5
471,soccer,20,4
472,soccer,70,9
473,soccer,15,8
474,soccer,20,12
475,soccer,65,5
476,soccer,65,6
477,soccer,70,9
478,soccer,10,8
479,soccer,50,12
480,soccer,5,5
481,soccer,12,1
482,soccer,75,10
483,soccer,60,6
484,soccer,30,12
485,soccer,15,7
486,soccer,50,2
487,soccer,70,12
488,soccer,65,9
489,soccer,70,1
490,soccer,50,11
491,soccer,0,3
492,soccer,60,5
493,soccer,75,6
494,soccer,75,8
495,soccer,5,4
496,soccer,0,12
497,soccer,20,8
498,soccer,50,10
499,soccer,50,3
500,soccer,0,3
501,soccer,35,1
502,soccer,35,5
503,soccer,30,4
504,soccer,20,4
505,soccer,20,3
506,soccer,72,9
507,soccer,30,2
508,soccer,15,5
509,soccer,75,4
510,soccer,10,2
511,soccer,0,10
512,soccer,35,5
513,soccer,45,1
514,soccer,30,11
515,soccer,10,10
516,soccer,30,4
517,soccer,20,6
518,soccer,65,10
519,soccer,20,9
520,soccer,10,12
521,soccer,72,11
522,soccer,72,5
523,soccer,20,4
524,soccer,35,1
525,soccer,35,7
526,soccer,70,12
527,soccer,70,6
528,soccer,45,1
529,soccer,45,7
530,soccer,60,4
531,education,30,8
532,education,50,4
533,education,70,4
534,education,72,4
535,education,70,5
536,education,10,10
537,education,50,8
538,education,70,12
539,education,75,4
540,education,15,3
541,education,70,3
542,education,0,3
543,education,65,6
544,education,50,6
545,education,10,4
546,education,60,3
547,education,20,12
548,education,30,12
549,education,30,7
550,studying,70,9
551,studying,75,4
552,studying,15,12
553,studying,65,3
554,studying,5,3
555,studying,70,8
556,studying,72,5
557,studying,65,6
558,studying,10,8
559,studying,45,4
560,studying,72,7
561,studying,5,1
562,studying,5,5
563,studying,70,6
564,studying,50,4
565,studying,65,3
566,studying,60,11
567,studying,20,5
568,studying,12,1
569,studying,72,5
570,studying,35,9
571,studying,65,12
572,studying,12,7
573,studying,20,1
574,studying,45,6
575,studying,60,4
576,studying,65,9
577,studying,15,3
578,studying,15,12
579,studying,65,3
580,studying,50,1
581,studying,15,10
582,studying,60,2
583,studying,0,12
584,studying,50,8
585,studying,12,2
586,studying,15,6
587,studying,60,1
588,studying,50,12
589,studying,0,4
590,studying,0,7
591,studying,70,11
592,studying,45,4
593,studying,20,2
594,studying,35,11
595,studying,5,11
596,studying,72,6
597,travel,75,12
598,travel,12,5
599,travel,60,2
600,travel,50,6
601,travel,60,10
602,travel,70,12
603,travel,20,2
604,travel,65,12
605,travel,35,8
606,travel,60,10
607,travel,35,12
608,travel,65,12
609,travel,0,9
610,travel,0,7
611,travel,72,9
612,travel,70,11
613,travel,75,12
614,travel,45,12
615,travel,72,4
616,travel,72,1
617,travel,65,4
618,food,10,8
619,food,12,5
620,food,20,5
621,food,30,4
622,food,5,12
623,food,35,2
624,food,70,11
625,food,10,12
626,food,12,9
627,food,30,4
628,food,72,10
629,food,65,2
630,food,65,11
631,food,72,11
632,food,15,8
633,food,45,6
634,food,12,6
635,food,70,12
636,food,12,2
637,food,72,7
638,food,5,12
639,food,30,1
640,food,65,7
641,food,60,1
642,food,60,12
643,food,15,12
644,food,72,11
645,food,30,3
646,food,35,4
647,food,30,8
648,food,65,11
649,food,10,2
650,food,12,5
651,food,35,9
652,dogs,70,1
653,dogs,70,4
654,dogs,60,12
655,dogs,50,5
656,dogs,15,5
657,dogs,75,5
658,dogs,5,5
659,dogs,0,5
660,dogs,60,3
661,dogs,5,8
662,dogs,72,4
663,dogs,20,3
664,dogs,30,8
665,dogs,12,12
666,science,30,4
667,science,12,3
668,science,65,5
669,science,70,3
670,science,72,7
671,science,30,9
672,science,65,4
673,science,65,5
674,science,45,1
675,science,72,4
676,science,50,9
677,science,65,11
678,science,72,5
679,science,30,3
680,science,70,8
681,science,20,6
682,science,20,4
683,science,20,8
684,science,15,1
685,science,60,8
686,science,5,2
687,science,30,10
688,science,35,6
689,science,50,9
690,science,60,3
691,science,35,6
692,science,35,3
693,science,60,9
694,science,0,4
695,science,0,8
696,science,35,3
697,science,65,10
698,science,65,5
699,science,60,7
700,science,72,4
701,science,5,4
702,science,10,2
703,science,20,8
704,science,70,10
705,science,70,6
706,science,12,11
707,science,12,4
708,science,72,1
709,science,45,5
710,science,5,8
711,science,5,2
712,veganism,72,2
713,veganism,0,7
714,veganism,45,1
715,veganism,5,5
716,veganism,12,10
717,veganism,10,7
718,veganism,45,3
719,veganism,35,7
720,veganism,12,1
721,veganism,50,6
722,veganism,15,12
723,veganism,35,5
724,veganism,30,2
725,veganism,60,9
726,veganism,12,2
727,veganism,70,5
728,veganism,50,5
729,veganism,75,10
730,veganism,20,10
731,veganism,15,4
732,veganism,5,1
733,veganism,50,4
734,veganism,60,5
735,veganism,45,2
736,veganism,65,1
737,veganism,65,8
738,veganism,60,1
739,veganism,72,11
740,veganism,50,11
741,veganism,20,8
742,veganism,12,9
743,veganism,35,4
744,veganism,0,6
745,veganism,20,2
746,veganism,10,1
747,veganism,65,4
748,veganism,70,3
749,veganism,75,8
750,veganism,30,3
751,veganism,72,2
752,healthy eating,70,6
753,healthy eating,72,12
754,healthy eating,5,3
755,healthy eating,75,4
756,healthy eating,72,7
757,healthy eating,10,5
758,healthy eating,50,10
759,healthy eating,30,1
760,healthy eating,45,6
761,healthy eating,10,12
762,healthy eating,75,10
763,healthy eating,70,11
764,healthy eating,12,12
765,healthy eating,70,4
766,healthy eating,5,12
767,healthy eating,75,6
768,healthy eating,15,8
769,healthy eating,72,3
770,healthy eating,0,3
771,healthy eating,70,11
772,healthy eating,70,2
773,healthy eating,35,12
774,healthy eating,75,3
775,healthy eating,20,8
776,healthy eating,12,12
777,healthy eating,72,4
778,healthy eating,10,4
779,healthy eating,12,12
780,food,45,9
781,food,20,3
782,food,70,12
783,food,70,10
784,food,70,11
785,food,70,3
786,food,0,2
787,food,10,9
788,food,65,5
789,food,72,10
790,food,20,9
791,food,45,9
792,food,60,12
793,food,35,5
794,food,65,11
795,food,20,6
796,food,12,8
797,food,65,3
798,food,50,12
799,food,65,2
800,food,10,10
801,food,5,4
802,food,20,11
803,food,0,12
804,food,12,3
805,dogs,60,10
806,dogs,0,12
807,dogs,35,12
808,dogs,10,9
809,dogs,15,6
810,dogs,5,4
811,dogs,30,1
812,dogs,70,11
813,dogs,65,1
814,dogs,20,8
815,dogs,20,6
816,dogs,70,11
817,dogs,60,1
818,dogs,60,9
819,dogs,75,2
820,dogs,72,9
821,dogs,12,6
822,dogs,5,8
823,dogs,5,12
824,dogs,75,2
825,dogs,50,11
826,dogs,0,7
827,dogs,50,11
828,dogs,20,5
829,dogs,15,10
830,dogs,70,9
831,dogs,60,3
832,dogs,72,6
833,dogs,70,7
834,dogs,65,12
835,dogs,75,11
836,dogs,20,2
837,dogs,50,2
838,dogs,0,10
839,studying,45,9
840,studying,45,7
841,studying,5,4
842,cooking,0,1
843,cooking,0,6
844,cooking,10,10
845,cooking,72,3
846,cooking,12,12
847,cooking,5,5
848,cooking,72,5
849,cooking,5,12
850,cooking,12,1
851,cooking,45,9
852,cooking,30,11
853,cooking,75,9
854,cooking,10,12
855,cooking,60,1
856,cooking,75,10
857,cooking,10,2
858,cooking,12,12
859,cooking,10,10
860,cooking,60,3
861,cooking,60,5
862,cooking,20,7
863,cooking,5,2
864,cooking,30,2
865,cooking,72,10
866,cooking,45,1
867,cooking,30,6
868,cooking,20,7
869,cooking,5,2
870,cooking,50,1
871,cooking,60,4
872,food,10,6
873,food,50,3
874,food,45,6
875,food,12,11
876,food,5,9
877,food,35,1
878,food,35,8
879,food,30,8
880,food,45,10
881,food,35,8
882,food,70,1
883,food,5,11
884,food,75,1
885,food,15,3
886,food,30,8
887,food,70,2
888,food,5,7
889,food,15,8
890,food,10,7
891,food,70,10
892,food,30,10
893,food,12,7
894,food,75,8
895,food,5,12
896,food,65,3
897,food,45,4
898,food,35,11
899,food,12,7
900,food,70,10
901,food,5,6
902,food,70,11
903,food,12,11
904,food,0,10
905,food,50,8
906,food,45,11
907,food,65,1
908,food,5,2
909,food,70,8
910,animals,70,3
911,animals,45,10
912,animals,50,12
913,animals,65,5
914,animals,5,12
915,animals,15,5
916,animals,5,1
917,animals,70,3
918,animals,72,2
919,technology,15,2
920,technology,60,5
921,technology,15,2
922,technology,65,1
923,technology,30,10
924,technology,60,7
925,technology,72,2
926,technology,0,8
927,technology,5,12
928,technology,0,10
929,technology,72,11
930,technology,35,11
931,technology,70,9
932,technology,15,6
933,technology,5,12
934,technology,45,9
935,technology,72,8
936,technology,10,3
937,technology,50,9
938,technology,15,8
939,healthy eating,45,10
940,healthy eating,72,10
941,healthy eating,0,6
942,healthy eating,15,2
943,healthy eating,45,3
944,healthy eating,60,10
945,healthy eating,12,5
946,healthy eating,20,6
947,healthy eating,75,3
948,healthy eating,0,1
949,healthy eating,0,5
950,healthy eating,35,2
951,healthy eating,30,12
952,healthy eating,12,3
953,healthy eating,35,12
954,healthy eating,72,12
955,healthy eating,65,2
956,healthy eating,70,9
957,healthy eating,0,10
958,healthy eating,10,9
959,healthy eating,70,4
960,healthy eating,75,11
961,healthy eating,70,9
962,healthy eating,72,7
963,healthy eating,75,4
964,healthy eating,50,7
965,healthy eating,50,12
966,healthy eating,70,8
967,healthy eating,12,3
968,healthy eating,72,11
969,healthy eating,72,4
970,healthy eating,20,1
971,healthy eating,15,2
972,healthy eating,50,3
973,healthy eating,35,6
974,healthy eating,30,9
975,healthy eating,15,2
976,healthy eating,0,7
977,healthy eating,60,3
978,healthy eating,75,6
979,healthy eating,5,1
980,healthy eating,45,1
981,healthy eating,12,1
982,healthy eating,72,5
983,healthy eating,10,4
984,healthy eating,30,4
985,healthy eating,70,1
986,animals,70,4
987,animals,20,5
988,animals,10,4
989,animals,60,9
990,animals,20,4
991,animals,60,4
992,animals,30,7
993,animals,72,9
994,animals,0,9
995,animals,35,7
996,animals,50,7
997,animals,10,12
998,animals,10,5
999,animals,65,2
1000,animals,20,1
1001,animals,70,11
1002,animals,12,7
1003,animals,70,8
1004,animals,5,1
1005,animals,70,10
1006,animals,50,2
1007,animals,45,10
1008,animals,15,10
1009,animals,30,1
1010,animals,10,10
1011,technology,5,11
1012,fitness,50,1
1013,fitness,30,8
1014,fitness,75,10
1015,fitness,0,4
1016,fitness,50,1
1017,fitness,30,1
1018,fitness,72,10
1019,fitness,35,6
1020,fitness,10,3
1021,fitness,70,10
1022,fitness,12,11
1023,fitness,0,3
1024,fitness,50,6
1025,fitness,12,1
1026,fitness,35,7
1027,fitness,50,4
1028,fitness,72,4
1029,fitness,60,10
1030,fitness,15,8
1031,fitness,50,9
1032,fitness,72,4
1033,fitness,35,3
1034,fitness,20,12
1035,fitness,45,7
1036,fitness,72,10
1037,fitness,5,7
1038,animals,12,7
1039,animals,5,7
1040,animals,10,9
1041,animals,75,10
1042,animals,50,12
1043,animals,30,10
1044,animals,30,9
1045,animals,30,5
1046,animals,65,9
1047,animals,0,7
1048,animals,75,6
1049,animals,70,11
1050,animals,5,3
1051,fitness,72,4
1052,fitness,70,6
1053,fitness,5,1
1054,fitness,60,2
1055,fitness,15,9
1056,fitness,70,6
1057,fitness,20,7
1058,fitness,70,7
1059,fitness,50,3
1060,fitness,50,11
1061,fitness,35,1
1062,fitness,65,10
1063,fitness,0,11
1064,fitness,60,12
1065,fitness,45,7
1066,fitness,15,8
1067,fitness,60,4
1068,fitness,0,9
1069,fitness,75,1
1070,fitness,0,4
1071,fitness,10,3
1072,fitness,72,8
1073,fitness,72,5
1074,fitness,5,12
1075,fitness,15,3
1076,fitness,75,2
1077,fitness,50,11
1078,fitness,20,8
1079,fitness,35,6
1080,fitness,45,2
1081,fitness,12,9
1082,fitness,50,10
1083,fitness,15,10
1084,fitness,50,6
1085,fitness,12,5
1086,fitness,0,1
1087,fitness,45,11
1088,fitness,5,4
1089,fitness,45,8
1090,fitness,60,8
1091,fitness,70,12
1092,fitness,70,6
1093,fitness,12,2
1094,veganism,50,3
1095,veganism,30,11
1096,veganism,70,6
1097,veganism,72,3
1098,veganism,0,12
1099,veganism,15,5
1100,veganism,70,9
1101,veganism,15,11
1102,veganism,75,9
1103,veganism,45,3
1104,veganism,35,4
1105,dogs,5,7
1106,dogs,35,9
1107,dogs,15,10
1108,dogs,65,5
1109,dogs,75,12
1110,dogs,10,1
1111,dogs,60,5
1112,dogs,70,3
1113,dogs,65,5
1114,dogs,60,1
1115,dogs,72,7
1116,dogs,70,7
1117,dogs,20,6
1118,dogs,60,2
1119,dogs,15,12
1120,dogs,45,11
1121,dogs,35,2
1122,dogs,15,6
1123,dogs,65,11
1124,dogs,30,9
1125,dogs,65,10
1126,dogs,65,2
1127,dogs,30,2
1128,dogs,0,6
1129,dogs,0,5
1130,dogs,72,2
1131,dogs,10,2
1132,dogs,35,5
1133,dogs,50,5
1134,dogs,70,11
1135,dogs,45,9
1136,dogs,30,8
1137,dogs,50,9
1138,dogs,10,9
1139,dogs,0,2
1140,dogs,70,5
1141,dogs,70,9
1142,dogs,45,1
1143,dogs,12,10
1144,dogs,15,7
1145,dogs,5,11
1146,healthy eating,70,7
1147,healthy eating,72,4
1148,healthy eating,5,11
1149,healthy eating,20,4
1150,healthy eating,72,4
1151,healthy eating,20,5
1152,healthy eating,72,1
1153,healthy eating,20,11
1154,healthy eating,70,7
1155,healthy eating,15,8
1156,healthy eating,75,1
1157,healthy eating,35,5
1158,healthy eating,15,5
1159,healthy eating,65,9
1160,healthy eating,0,9
1161,healthy eating,15,12
1162,healthy eating,5,10
1163,healthy eating,12,8
1164,healthy eating,10,10
1165,healthy eating,70,5
1166,healthy eating,15,12
1167,healthy eating,72,8
1168,healthy eating,65,8
1169,healthy eating,20,8
1170,healthy eating,70,4
1171,healthy eating,35,4
1172,healthy eating,50,12
1173,healthy eating,0,10
1174,healthy eating,70,5
1175,healthy eating,0,3
1176,studying,15,2
1177,studying,45,8
1178,studying,20,2
1179,studying,30,7
1180,studying,60,3
1181,studying,50,1
1182,studying,70,11
1183,studying,70,7
1184,studying,35,7
1185,studying,45,2
1186,studying,72,10
1187,studying,60,9
1188,studying,20,12
1189,studying,60,9
1190,studying,30,11
1191,studying,45,3
1192,studying,15,3
1193,studying,60,6
1194,studying,70,2
1195,studying,20,9
1196,studying,70,4
1197,studying,60,7
1198,studying,50,9
1199,studying,45,7
1200,studying,70,12
1201,studying,5,12
1202,studying,12,9
1203,studying,70,1
1204,studying,20,12
1205,studying,30,12
1206,studying,30,12
1207,studying,0,2
1208,studying,75,7
1209,studying,15,8
1210,studying,12,3
1211,studying,30,12
1212,studying,45,11
1213,studying,75,1
1214,studying,45,8
1215,culture,45,5
1216,culture,72,5
1217,culture,30,8
1218,culture,45,10
1219,culture,70,10
1220,culture,15,7
1221,culture,70,11
1222,culture,12,9
1223,culture,30,1
1224,culture,30,5
1225,culture,15,6
1226,culture,12,10
1227,culture,35,9
1228,culture,72,4
1229,culture,72,3
1230,culture,70,3
1231,tennis,50,12
1232,tennis,0,2
1233,tennis,20,7
1234,tennis,60,12
1235,tennis,75,12
1236,tennis,10,9
1237,tennis,30,11
1238,tennis,60,5
1239,tennis,0,11
1240,tennis,30,1
1241,tennis,5,3
1242,tennis,15,4
1243,tennis,10,10
1244,tennis,0,1
1245,tennis,5,8
1246,tennis,60,10
1247,tennis,0,3
1248,tennis,75,3
1249,tennis,70,10
1250,tennis,72,12
1251,tennis,65,5
1252,tennis,15,6
1253,tennis,5,12
1254,tennis,15,1
1255,tennis,5,4
1256,tennis,65,9
1257,tennis,35,3
1258,tennis,5,12
1259,tennis,70,12
1260,tennis,5,4
1261,tennis,15,12
1262,tennis,70,6
1263,tennis,35,4
1264,tennis,45,10
1265,tennis,15,7
1266,tennis,70,9
1267,tennis,10,5
1268,tennis,10,3
1269,tennis,60,6
1270,tennis,30,4
1271,tennis,12,8
1272,tennis,5,8
1273,tennis,15,5
1274,tennis,50,7
1275,tennis,75,12
1276,tennis,10,5
1277,tennis,20,8
1278,tennis,20,6
1279,culture,60,9
1280,culture,20,2
1281,culture,10,11
1282,culture,50,7
1283,culture,5,9
1284,travel,65,4
1285,travel,12,7
1286,travel,45,7
1287,travel,35,12
1288,travel,0,9
1289,travel,5,5
1290,travel,20,9
1291,travel,5,6
1292,travel,65,10
1293,travel,35,11
1294,travel,0,11
1295,travel,60,5
1296,travel,0,1
1297,travel,10,12
1298,travel,10,4
1299,travel,70,4
1300,travel,35,1
1301,travel,70,7
1302,travel,50,10
1303,travel,15,7
1304,travel,35,9
1305,travel,35,9
1306,travel,70,2
1307,travel,15,3
1308,travel,60,8
1309,travel,15,7
1310,travel,10,4
1311,travel,65,10
1312,travel,30,12
1313,travel,35,12
1314,travel,70,9
1315,travel,0,6
1316,travel,72,10
1317,travel,35,8
1318,travel,50,1
1319,travel,60,7
1320,travel,5,4
1321,travel,0,1
1322,travel,15,3
1323,travel,30,3
1324,travel,70,10
1325,science,60,8
1326,science,12,7
1327,science,15,5
1328,science,75,9
1329,science,20,5
1330,science,20,5
1331,science,65,11
1332,science,5,1
1333,science,30,9
1334,science,5,12
1335,science,30,4
1336,science,70,12
1337,science,72,10
1338,science,10,8
1339,science,12,3
1340,science,45,8
1341,science,0,10
1342,science,65,3
1343,science,65,2
1344,science,15,4
1345,science,0,8
1346,science,50,7
1347,science,30,11
1348,science,75,10
1349,science,70,3
1350,science,35,4
1351,science,35,3
1352,science,20,8
1353,science,12,9
1354,science,75,6
1355,science,50,4
1356,science,70,6
1357,science,0,1
1358,science,30,10
1359,science,65,3
1360,science,45,2
1361,science,12,10
1362,technology,0,9
1363,technology,35,8
1364,technology,45,3
1365,technology,75,11
1366,technology,0,2
1367,technology,50,1
1368,technology,50,3
1369,technology,70,12
1370,technology,60,8
1371,technology,10,2
1372,technology,12,1
1373,technology,70,8
1374,technology,15,12
1375,technology,0,5
1376,technology,70,8
1377,technology,35,10
1378,technology,72,5
1379,technology,70,3
1380,technology,5,11
1381,technology,10,1
1382,technology,12,6
1383,technology,75,12
1384,science,30,1
1385,science,70,12
1386,science,60,2
1387,science,35,6
1388,science,15,1
1389,science,0,12
1390,science,10,5
1391,science,0,6
1392,science,70,9
1393,science,15,8
1394,science,10,1
1395,science,45,7
1396,science,30,7
1397,science,35,12
1398,science,10,11
1399,science,70,10
1400,science,15,7
1401,science,50,2
1402,science,12,6
1403,science,15,5
1404,food,72,12
1405,food,72,7
1406,food,15,6
1407,food,35,12
1408,food,45,4
1409,food,75,2
1410,food,72,1
1411,food,10,6
1412,food,35,3
1413,food,15,7
